#nrNodes nrCollisions Transmission Processed Received Received Throughput OverallEnergy  DER ExperimentNumer SendDuration
50      14      1217      1217            1203   3.341666666666667      6.271541759999999      0.9884963023829088      0      300000
100      43      2354      2354            2311   6.419444444444444      12.130821120000006      0.9817332200509771      0      300000
200      244      4918      4918            4674   12.983333333333333      25.343831040000026      0.9503863359089061      0      300000
300      556      7193      7193            6637   18.43611111111111      37.067543040000004      0.9227026275545669      0      300000
400      889      9667      9667            8778   24.383333333333333      49.81675775999998      0.9080376538740044      0      300000
500      1444      12091      12091            10647   29.575      62.308308479999994      0.8805723265238607      0      300000
600      2069      14538      14538            12469   34.63611111111111      74.91838463999996      0.8576833126977575      0      300000
700      2755      16818      16818            14063   39.06388888888889      86.66786303999982      0.8361874182423594      0      300000
800      3443      19186      19186            15743   43.730555555555554      98.87083008000003      0.8205462316272282      0      300000
900      4468      21728      21726            17258   47.93888888888889      111.97046783999998      0.7942746686303387      0      300000
1100      6387      26356      26356            19969   55.46944444444444      135.81984767999964      0.7576642889664592      0      300000
1300      8491      31361      31361            22870   63.52777777777778      161.61201407999977      0.7292497050476707      0      300000
1500      11319      36003      36002            24683   68.56388888888888      185.53353983999932      0.6855817570757993      0      300000
1700      13986      40596      40595            26609   73.91388888888889      209.20255487999913      0.6554586658784116      0      300000
1800      15608      43031      43031            27423   76.175      221.75079167999874      0.6372847482047826      0      300000
2000      18765      47715      47714            28949   80.41388888888889      245.8887551999989      0.6067064864298438      0      300000


50      325      1251      1251            926   2.5722222222222224      141.36356044800007      0.7402078337330136      0      300000
100      935      2344      2342            1407   3.908333333333333      264.8730501119999      0.6002559726962458      0      300000
200      3072      4708      4708            1636   4.544444444444444      532.0061091840004      0.34749362786745963      0      300000
300      5785      7210      7207            1423   3.952777777777778      814.7332300800007      0.19736477115117892      0      300000
400      8530      9626      9622            1095   3.0416666666666665      1087.7423124480001      0.11375441512570122      0      300000
500      11217      12009      11988            789   2.191666666666667      1357.0223800319995      0.0657007244566575      0      300000
600      13802      14390      14292            585   1.625      1626.0764467199997      0.04065323141070187      0      300000
