#nrNodes nrCollisions Transmission Processed Received Received Throughput OverallEnergy  DER ExperimentNumer SendDuration
50      173      1209      1209            1036   2.8777777777777778      189.56500992000008      0.8569065343258891      0      300000
100      724      2365      2362            1638   4.55      370.81989120000003      0.692600422832981      0      300000
200      2469      4815      4815            2346   6.516666666666667      754.9673472000003      0.48722741433021804      0      300000
300      4791      7228      7226            2435   6.763888888888889      1133.313392640001      0.33688433868289985      0      300000
400      7310      9568      9565            2255   6.263888888888889      1500.21341184      0.2356814381270903      0      300000
500      10035      12007      12003            1972   5.477777777777778      1882.6361241599993      0.16423752810860331      0      300000
600      12887      14486      14479            1598   4.438888888888889      2271.3306316799994      0.11031340604721801      0      300000
700      15347      16660      16640            1310   3.638888888888889      2612.2027007999995      0.07863145258103241      0      300000
800      18259      19291      19217            1029   2.8583333333333334      3024.7300300799993      0.05334093618785962      0      300000
900      20685      21551      21404            860   2.388888888888889      3379.086458879996      0.03990534081945153      0      300000
1100      25590      26100      25589            502   1.3944444444444444      4092.346367999991      0.019233716475095787      0      300000
1300      30889      31190      29926            296   0.8222222222222222      4890.432307199992      0.009490221224751523      0      300000
1500      35358      35527      33044            165   0.4583333333333333      5570.451701759994      0.004644354997607453      0      300000


50      2      1206      1206            1204   3.3444444444444446      39.00999168      0.9983416252072969      6      300000
100      7      2385      2385            2378   6.605555555555555      59.39920588800001      0.9970649895178197      6      300000
200      29      4735      4735            4706   13.072222222222223      113.06096947200004      0.9938753959873284      6      300000
300      52      7179      7179            7127   19.79722222222222      168.73571404800003      0.9927566513441983      6      300000
400      117      9691      9691            9574   26.594444444444445      233.988006912      0.9879269425239914      6      300000
500      199      12041      12040            11841   32.891666666666666      290.6692377600002      0.9833900838800764      6      300000
600      306      14528      14528            14222   39.50555555555555      347.31222451199983      0.9789372246696035      6      300000
700      402      16663      16662            16260   45.166666666666664      432.66493670399984      0.9758146792294304      6      300000
800      518      19141      19140            18622   51.727777777777774      493.017288192      0.9728854291834282      6      300000
900      598      21428      21428            20830   57.861111111111114      517.6759272959995      0.9720925891357103      6      300000
1100      871      26362      26362            25491   70.80833333333334      597.8732812800015      0.9669600182080267      6      300000
1300      1400      31365      31364            29964   83.23333333333333      811.416815616      0.9553323768531803      6      300000
1500      1721      35982      35982            34261   95.16944444444445      845.6735485439998      0.952170529709299      6      300000
1700      5147      40463      40457            35314   98.09444444444445      2003.414552831997      0.8727479425648123      6      300000
1800      5776      43327      43306            37550   104.30555555555556      2124.3871503359956      0.8666651279802433      6      300000
2000      14998      47908      47486            32905   91.40277777777777      3538.084197120009      0.6868372714369207      6      300000


50      3      1164      1164            1161   3.225      31.693717824000007      0.9974226804123711      5      300000
100      8      2362      2362            2354   6.538888888888889      48.86923641600002      0.9966130397967824      5      300000
200      33      4760      4760            4727   13.130555555555556      97.60801324800003      0.9930672268907563      5      300000
300      84      7164      7164            7080   19.666666666666668      138.78135340800003      0.9882747068676717      5      300000
400      157      9602      9602            9445   26.23611111111111      193.74748972800003      0.9836492397417205      5      300000
500      215      12066      12065            11850   32.916666666666664      244.94711251200022      0.982098458478369      5      300000
600      384      14454      14453            14069   39.080555555555556      291.6747496320001      0.9733637747336378      5      300000
700      595      16939      16938            16343   45.397222222222226      360.1872222719999      0.9648149241395596      5      300000
800      713      19140      19140            18427   51.18611111111111      405.2113263360004      0.962748171368861      5      300000
900      841      21703      21703            20862   57.95      438.75595315200013      0.9612495968299314      5      300000
1100      1088      26229      26228            25140   69.83333333333333      504.733809216      0.9584810705707423      5      300000
1300      1739      31059      31059            29320   81.44444444444444      669.5521301759998      0.9440097878231752      5      300000
1500      2146      35740      35738            33592   93.31111111111112      70707.6484529920016      0.9398992725237829      5      300000
1700      5055      40848      37565            32510   90.30555555555556      1794.8193319680042      0.7958773991382687      5      300000
1800      5388      42967      39492            34107   94.74166666666666      1861.8003073920027      0.7937952382060651      5      300000
2000      6974      47679      35986            29016   80.6      3231.2432688000017      0.608569810608444      5      300000



50      12/1205      1205            1193   3.313888888888889      8.510346240000002      0.9900414937759336      0      300000
100      48/2493      2493            2445   6.791666666666667      17.606882304000006      0.9807460890493381      0      300000
200      149/4692      4692            4543   12.619444444444444      33.13738137600001      0.9682438192668372      0      300000
300      353/7219      7219            6866   19.072222222222223      50.98438963199999      0.9511012605624047      0      300000
400      636/9581      9581            8945   24.84722222222222      67.66608076800006      0.9336186201857843      0      300000
500      972/11982      11982            11010   30.583333333333332      84.62321049600006      0.9188783174762143      0      300000
600      1403/14406      14406            13003   36.11944444444445      101.74277836800006      0.9026100236012773      0      300000
700      1839/16734      16734            14895   41.375      118.18434355200002      0.8901039799211187      0      300000
800      2382/19030      19030            16648   46.24444444444445      134.39990783999994      0.8748292170257488      0      300000
900      3103/21708      21707            18604   51.67777777777778      153.31335782399987      0.8570112400958172      0      300000
1100      4439/26245      26244            21805   60.56944444444444      185.35604735999968      0.8308249190321966      0      300000
1300      6168/31496      31496            25328   70.35555555555555      222.44138188799937      0.8041656083312166      0      300000
1500      8187/36330      36329            28142   78.17222222222222      256.5816422399992      0.7746215249105423      0      300000
1700      10140/40796      40796            30656   85.15555555555555      288.1228922879981      0.7514462202176684      0      300000
1900      12548/45711      45711            33163   92.11944444444444      322.83521740799745      0.7254927697928288      0      300000
2000      13779/47892      47892            34113   94.75833333333334      338.2385909759966      0.7122901528438987      0      300000
