#nrNodes nrCollisions Transmission Processed Received Received Throughput OverallEnergy  DER ExperimentNumer SendDuration
50      383      1117      1117            734   2.0388888888888888      407.049240576      0.657117278424351      0      300000
100      1453      2434      2432            979   2.7194444444444446      886.981066752      0.40221857025472474      0      300000
200      3915      4735      4732            819   2.275      1725.4952140799994      0.17296726504751847      0      300000
300      6536      7079      7065            541   1.5027777777777778      2579.679117311998      0.07642322361915525      0      300000
400      9242      9515      9444            270   0.75      3467.3890099199966      0.02837624802942722      0      300000
500      11792      11935      11655            138   0.38333333333333336      4349.268295679994      0.011562630917469627      0      300000
600      13921      14005      13339            80   0.2222222222222222      5103.603056639989      0.005712245626561942      0      300000


50      8      1214      1214            1206   3.35      78.61305830399999      0.9934102141680395      6      300000
100      15      2399      2399            2384   6.622222222222222      113.60901657600003      0.9937473947478116      6      300000
200      55      4810      4809            4754   13.205555555555556      217.2141312      0.9883575883575884      6      300000
300      141      7168      7168            7027   19.519444444444446      329.61771110399974      0.9803292410714286      6      300000
400      218      9483      9483            9265   25.73611111111111      445.61757926399986      0.9770114942528736      6      300000
500      365      11738      11738            11373   31.591666666666665      550.2845736959993      0.9689044130175498      6      300000
600      607      14452      14452            13845   38.458333333333336      663.4718069759986      0.9579988928867976      6      300000
700      737      16650      16649            15912   44.2      826.7104834559993      0.9556756756756757      6      300000
800      972      19195      19194            18222   50.61666666666667      951.7191974399996      0.9493097160718937      6      300000
900      1163      21755      21754            20591   57.19722222222222      1037.3882280960001      0.9464950586072167      6      300000
1100      1673      26285      26284            24611   68.3638888888889      1141.4206256639995      0.9363134867795321      6      300000
1300      2632      31007      31005            28374   78.81666666666666      1541.5771937280017      0.9150836907795014      6      300000
1500      3286      35863      35856            32572   90.47777777777777      1615.616766719997      0.9082341131528316      6      300000
1700      9151      40705      40081            31549   87.6361111111111      3942.7930122240045      0.7750644883920894      6      300000
1800      9988      43192      42297            33198   92.21666666666667      4141.818067199997      0.768614558251528      6      300000
2000      21217      47823      41371            26597   73.88055555555556      6883.951514880005      0.556154988185601      6      300000


50      14      1246      1246            1232   3.422222222222222      65.42879788799999      0.9887640449438202      5      300000
100      36      2422      2422            2386   6.627777777777778      95.50938297600001      0.9851362510322048      5      300000
200      128      4771      4771            4643   12.897222222222222      184.30796236800003      0.9731712429260113      5      300000
300      260      7263      7263            7003   19.45277777777778      273.47066937600016      0.9642021203359493      5      300000
400      500      9631      9630            9130   25.36111111111111      381.75448320000004      0.9479804797009657      5      300000
500      621      11841      11840            11219   31.163888888888888      467.5970304000001      0.9474706528164851      5      300000
600      1007      14278      14278            13271   36.86388888888889      562.4783996159996      0.9294719148340104      5      300000
700      1494      16828      16828            15334   42.59444444444444      692.6160731519999      0.9112193962443547      5      300000
800      1897      19136      19133            17236   47.87777777777778      793.1939168640002      0.9007107023411371      5      300000
900      2074      21478      21478            19404   53.9      843.1850232959982      0.9034360741223577      5      300000
1100      2824      26333      26332            23508   65.3      972.7302311039992      0.8927201610146964      5      300000
1300      4862      31140      31137            26275   72.98611111111111      1299.7234177920002      0.8437700706486834      5      300000
1500      5403      36249      36245            30844   85.67777777777778      1376.3541475200004      0.8508924384120942      5      300000
1700      10408      40592      37218            26925   74.79166666666667      3463.363463040005      0.6633080409932992      5      300000
1800      11022      42542      38938            28135   78.15277777777777      3645.2731580160034      0.6613464341121715      5      300000
2000      13557      47429      35448            22246   61.794444444444444      6326.405292479985      0.4690379303801472      5      300000


50      5      1209      1209            1204   3.3444444444444446      78.460233984      0.9958643507030603      8      300000
100      16      2412      2412            2396   6.655555555555556      118.42064256      0.9933665008291874      8      300000
200      69      4812      4812            4743   13.175      224.61749376000006      0.9856608478802993      8      300000
300      152      7193      7192            7040   19.555555555555557      337.6539471359996      0.9787293201723898      8      300000
400      218      9421      9420            9202   25.56111111111111      440.1050142719996      0.9767540600785479      8      300000
500      414      11911      11911            11497   31.93611111111111      573.4120127999994      0.9652422130803459      8      300000
600      711      14346      14345            13634   37.87222222222222      686.7879828480003      0.9503694409591523      8      300000
700      884      16803      16802            15918   44.21666666666667      831.8164377600002      0.9473308337796822      8      300000
800      1063      19127      19124            18061   50.169444444444444      952.7862981119993      0.9442672661682439      8      300000
900      1270      22056      22055            20785   57.736111111111114      1050.6787906559991      0.942373957199855      8      300000
1100      2100      26486      26486            24386   67.7388888888889      1186.0610657280008      0.9207128294193159      8      300000
1300      2765      31041      31038            28274   78.53888888888889      1559.1228449279977      0.9108598305466963      8      300000
1500      3678      35774      35769            32094   89.15      1666.9168412160004      0.897131995303852      8      300000
1700      10034      40714      39807            30675   85.20833333333333      4225.942921728014      0.7534263398339638      8      300000
1800      11071      42899      41731            31818   88.38333333333334      4411.263495935999      0.7416956106202942      8      300000
2000      21590      47655      40754            26056   72.37777777777778      7062.66515328      0.5467631937886895      8      300000


50      12      1158      1158            1146   3.183333333333333      11.934996479999999      0.9896373056994818      0      300000
100      51      2447      2446            2395   6.652777777777778      25.22015232      0.9787494891704127      0      300000
200      218      4770      4770            4552   12.644444444444444      49.162291200000006      0.9542976939203355      0      300000
300      565      7221      7221            6656   18.488888888888887      74.42366976000002      0.9217559894751419      0      300000
400      913      9574      9574            8661   24.058333333333334      98.67500543999991      0.9046375600584917      0      300000
500      1476      12168      12168            10692   29.7      125.41022207999994      0.878698224852071      0      300000
600      1997      14505      14505            12508   34.74444444444445      149.49665279999985      0.8623233367804205      0      300000
700      2728      16825      16825            14097   39.15833333333333      173.40787199999977      0.8378603268945022      0      300000
