#nrNodes nrCollisions nrTransmissions OverallEnergy  DER ExperimentNumer SendDuration
50      291      1239      280.015110144      0.7643260694108152      0      300000
50      4      1158      70.12686489600001            0.9965457685664939      6      300000
50      5      1133      75.57048576            0.9938217122683142      8      300000
50      4      1193      64.63441420800001            0.9522212908633697      5      300000
50      1      1159      36.88705574400001            0.999137187230371      7      300000
100      131      811      183.28672665600007            0.8372379778051788      0      900000
100      1      786      33.49643827199999            0.9987277353689568      6      900000
100      2      823      41.77236096            0.9975698663426489      8      900000
100      0      803      29.67209203200001            0.987546699875467      5      900000
200      478      1559      352.33539686400013            0.6927517639512508      0      900000
200      4      1530      63.051521279999946            0.9973856209150327      6      900000
200      2      1645      74.32851993599995            0.9987841945288753      8      900000
200      4      1581      59.17526822399995            0.9487666034155597      5      900000
200      4      1593      45.01648166399998            0.997489014438167      7      900000
300      1005      2405      543.5321548800001            0.5821205821205822      0      900000
300      7      2372      86.33247743999992            0.9970489038785835      6      900000
300      11      2501      107.47362278399999            0.9956017592962815      8      900000
300      14      2327      82.06787750400001            0.9561667382896433      5      900000
300      9      2417      99.43243199999992            0.9962763756723211      7      900000
400      1702      3276      740.3789352959999            0.4801587301587302      0      900000
400      22      3128      138.2609564159999            0.9929667519181585      6      900000
400      24      3184      155.33861375999984            0.992462311557789      8      900000
400      31      3207      122.61966547200011            0.958216401621453      5      900000
500      11100      11909      2691.444670463998            0.06759593584683853      0      300000
500      356      11936      522.11761536            0.9701742627345844      6      300000
500      588      12166      626.364592128            0.9516685845799769      8      300000
500      370      11920      461.2656664320004            0.9409395973154362      5      300000
700      16234      16617      3755.4568888319977            0.022868147078293315      0      300000
700      614      16503      710.1454694399999            0.96279464339817      6      300000
700      787      16941      799.0035356159985            0.9534265981937312      8      300000
700      778      16818      620.4087089279998            0.9286478772743489      5      300000
900      21555      21722      4909.191462911992            0.007411840530337907      0      300000
900      1005      21674      911.3121937919992            0.9535849404816831      6      300000
900      1268      21551      1012.8593587199985            0.9410700199526704      8      300000
900      1304      21545      784.4904095999999            0.9145045254119285      5      300000
1100      26223      26295      5942.693560319984            0.0024719528427457694      0      300000
1100      1384      26331      1048.3554385919983            0.9474383806160039      6      300000
1100      1749      26317      1164.778576895999            0.933465060607212      8      300000
1100      1682      26308      909.0176446080022            0.9114717956515128      5      300000
1300      31159      31199      7051.001954303978            0.0010256738998044809      0      300000
1300      2223      31165      1341.9085954560014            0.9286699823519974      6      300000
1300      2906      31262      1559.2341980160006            0.9069797197876016      8      300000
1300      2678      31175      1194.6441089279988            0.8894627105052125      5      300000
1500      35703      35715      8071.622000639956            0.0001399972000559989      0      300000
1500      3212      35956      1286.3974206719986            0.8901156969629547      5      300000
1500      2637      35931      1457.882511360002            0.9265536723163842      6      300000
1500      3440      36068      1683.3893260800012            0.9045968725740269      8      300000
