50      280/1187      1186            906   2.5166666666666666      268.2630635520001      0.7632687447346251      0      300000
100      950/2337      2335            1385   3.8472222222222223      528.1640939519999      0.592640136927685      0      300000
200      3121/4736      4736            1615   4.486111111111111      1070.340243456      0.34100506756756754      0      300000
300      5653/7104      7102            1450   4.027777777777778      1605.5103651840009      0.20411036036036037      0      300000
400      8310/9441      9434            1128   3.1333333333333333      2133.674459136      0.11947886876390212      0      300000
500      11198/12005      11974            802   2.227777777777778      2713.1407564800033      0.0668054977092878      0      300000
600      13401/14022      13943            617   1.7138888888888888      3168.984563712      0.044002282128084436      0      300000
700      16415/16809      16581            392   1.0888888888888888      3798.849060863995      0.023320840026176452      0      300000
800      18937/19220      18741            278   0.7722222222222223      4343.737221120002      0.014464099895941728      0      300000
900      21187/21365      20504            172   0.4777777777777778      4828.509143039997      0.008050549964895858      0      300000
1100      25994/26076      23844            75   0.20833333333333334      5893.199364095984      0.0028762080073630927      0      300000
1300      31195/31231      26748            27   0.075      7058.2339829759785      0.0008645256315840031      0      300000
1500      35674/35695      28579            13   0.03611111111111111      8067.10198271998      0.0003641966661997479      0      300000
1700      40741/40755      30240            3   0.008333333333333333      9210.666516479949      7.36105999263894e-05      0      300000
1800      42978/42994      30764            6   0.016666666666666666      9716.682522623938      0.0001395543564218263      0      300000
2000      47877/47890      31858            2   0.005555555555555556      10823.182909439925      4.1762372102735435e-05      0      300000
50      9/1147      1147            1138   3.161111111111111      43.32926841600001      0.992153443766347      5      300000
100      21/2365      2365            2344   6.511111111111111      65.04649228799998      0.9911205073995771      5      300000
200      53/4707      4707            4654   12.927777777777777      127.46227123200005      0.9887401742086255      5      300000
300      104/7188      7188            7084   19.677777777777777      187.42762272000016      0.9855314412910406      5      300000
400      223/9552      9552            9329   25.913888888888888      251.52249273599978      0.9766541038525963      5      300000
500      304/11933      11932            11628   32.3      321.0074083199998      0.9744406268331518      5      300000
600      501/14268      14268            13767   38.24166666666667      381.46998220799986      0.9648864592094197      5      300000
700      748/16669      16669            15921   44.225      473.169373056      0.9551262823204751      5      300000
800      973/19074      19074            18101   50.28055555555556      548.8891021439999      0.9489881514102967      5      300000
900      1159/21620      21620            20461   56.83611111111111      582.6849202560004      0.9463922294172062      5      300000
1100      1454/25958      25957            24503   68.06388888888888      664.747784064      0.9439479158640881      5      300000
1300      2406/31019      31018            28612   79.47777777777777      890.382998015999      0.9224023985299332      5      300000
1500      2908/35769      35766            32858   91.27222222222223      935.6093882880008      0.918616679247393      5      300000
1700      6301/40731      37456            31163   86.56388888888888      2352.4282356479966      0.7650929267633989      5      300000
1800      7011/43306      39786            32781   91.05833333333334      2504.4598623359975      0.7569620837759202      5      300000
2000      7974/48053      44374            36429   101.19166666666666      2631.6792040319933      0.7581004307743533      5      300000
50      4/1104      1104            1100   3.0555555555555554      47.988880896      0.9963768115942029      6      300000
100      15/2427      2426            2411   6.697222222222222      78.12643660800003      0.9934074989699218      6      300000
200      38/4848      4848            4810   13.36111111111111      154.01661158400006      0.9921617161716172      6      300000
300      108/7299      7299            7191   19.975      219.84801484800005      0.9852034525277436      6      300000
400      139/9482      9482            9343   25.95277777777778      297.48777907200025      0.9853406454334529      6      300000
500      237/12317      12315            12078   33.55      385.95956044800005      0.9805959243322238      6      300000
600      395/14497      14496            14101   39.169444444444444      452.82372326399974      0.9726840035869491      6      300000
700      486/16835      16835            16349   45.41388888888889      565.5748454399996      0.9711315711315711      6      300000
800      663/19296      19295            18632   51.75555555555555      649.1712606719997      0.9655887230514096      6      300000
900      733/21396      21395            20662   57.394444444444446      684.356656895999      0.9656945223406244      6      300000
1100      1152/26473      26472            25320   70.33333333333333      780.8964218879985      0.9564461904582027      6      300000
1300      1838/31371      31371            29533   82.03611111111111      1061.6843297279977      0.9414108571610723      6      300000
1500      2365/36239      36239            33874   94.09444444444445      1108.5322659839985      0.934738817296283      6      300000
1700      6677/40405      40324            33726   93.68333333333334      2618.8366364160033      0.8346986759064472      6      300000
1800      7468/42958      42868            35489   98.58055555555555      2794.4836846080025      0.8261325015131058      6      300000
2000      8195/48600      48421            40404   112.23333333333333      2978.9960640000068      0.831358024691358      6      300000
50      11/1257      1257            1246   3.4611111111111112      55.571020032      0.9912490055688147      8      300000
100      21/2382      2382            2361   6.558333333333334      78.452123904      0.9911838790931989      8      300000
200      53/4738      4737            4684   13.011111111111111      152.57177548799996      0.988602785985648      8      300000
300      71/7078      7077            7006   19.461111111111112      221.86158719999997      0.98982763492512      8      300000
400      161/9590      9590            9429   26.191666666666666      296.1855283200003      0.9832116788321168      8      300000
500      299/12008      12008            11709   32.525      394.871676672      0.9750999333777481      8      300000
600      482/14480      14480            13998   38.88333333333333      472.9379804159998      0.9667127071823205      8      300000
700      584/17044      17044            16460   45.72222222222222      578.0872627199996      0.9657357427833841      8      300000
800      802/19324      19322            18520   51.44444444444444      670.1984931839995      0.9583937073069758      8      300000
900      862/21390      21389            20527   57.019444444444446      686.7048460799994      0.959654043945769      8      300000
1100      1385/26407      26406            25021   69.50277777777778      807.9475683840006      0.9475139167644943      8      300000
1300      1934/30856      30855            28922   80.33888888888889      1064.0236400639992      0.9373217526575058      8      300000
1500      2638/36064      36061            33424   92.84444444444445      1147.9875179519984      0.9267968056787933      8      300000
1700      7505/40869      40773            33358   92.66111111111111      2831.114085887998      0.8162176710954513      8      300000
1800      8610/43135      42973            34523   95.89722222222223      2995.4683207679964      0.8003477454503304      8      300000
2000      9675/48256      48028            38578   107.16111111111111      3157.1237575679993      0.7994446286472149      8      300000
